Location Name,Coordinates,URL for files,zip,WMO,last_year,Country,WBAN,Latitude,Longitude,Heating DB 99.6%,Heating DB 99%,Cooling DB 0.4%,Cooling MCWB 0.4%,Cooling DB 1%,Cooling MCWB 1%,Cooling DB 2%,Cooling MCWB 2%,Evaporation WB 0.4%,Evaporation MCDB 0.4%,Evaporation WB 1%,Evaporation MCDB 1%,Evaporation WB 2%,Evaporation MCDB 2%
Hekkingen.Lighthouse TR NOR,"['17.82980', '69.60160', '14.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/NOR_Norway/TR_Troms/NOR_TR_Hekkingen.Lighthouse.010150_TMYx.2004-2018.zip,NOR_TR_Hekkingen.Lighthouse.010150_TMYx.2004-2018.zip,10150,2018,Norway,99999,69.601N,17.831E,-9.0,-7.8,18.9,14.4,17.4,13.4,16.0,12.7,14.9,18.0,13.9,16.7,13.0,15.5
Akseloya SV SJM,"['14.78390', '77.68860', '6.5']",https://climate.onebuilding.org/WMO_Region_6_Europe/SJM_Svalbard_and_Jan_Mayen/SV_Svalbard/SJM_SV_Akseloya.010170_TMYx.zip,SJM_SV_Akseloya.010170_TMYx.zip,10170,010170_TMYx,SvalbardandJanMayen,99999,77.689N,14.784E,-24.5,-21.6,9.7,,8.8,,8.0,,,,,,,
Akseloya SV SJM,"['14.78390', '77.68860', '6.5']",https://climate.onebuilding.org/WMO_Region_6_Europe/SJM_Svalbard_and_Jan_Mayen/SV_Svalbard/SJM_SV_Akseloya.010170_TMYx.2007-2021.zip,SJM_SV_Akseloya.010170_TMYx.2007-2021.zip,10170,2021,SvalbardandJanMayen,99999,77.689N,14.784E,-24.5,-21.6,9.7,,8.8,,8.0,,,,,,,
Akseloya SV SJM,"['14.78390', '77.68860', '6.5']",https://climate.onebuilding.org/WMO_Region_6_Europe/SJM_Svalbard_and_Jan_Mayen/SV_Svalbard/SJM_SV_Akseloya.010170_TMYx.2004-2018.zip,SJM_SV_Akseloya.010170_TMYx.2004-2018.zip,10170,2018,SvalbardandJanMayen,99999,77.689N,14.784E,-24.5,-21.6,9.7,,8.8,,8.0,,,,,,,
Bardufoss.AP TR NOR,"['18.54000', '69.05600', '76.8']",https://climate.onebuilding.org/WMO_Region_6_Europe/NOR_Norway/TR_Troms/NOR_TR_Bardufoss.AP.010230_TMYx.zip,NOR_TR_Bardufoss.AP.010230_TMYx.zip,10230,010230_TMYx,Norway,99999,69.056N,18.540E,-26.2,-24.0,24.0,15.3,21.9,14.5,19.8,13.6,16.5,21.7,15.3,20.0,14.3,18.6
Bardufoss.AP TR NOR,"['18.54000', '69.05600', '76.8']",https://climate.onebuilding.org/WMO_Region_6_Europe/NOR_Norway/TR_Troms/NOR_TR_Bardufoss.AP.010230_TMYx.2007-2021.zip,NOR_TR_Bardufoss.AP.010230_TMYx.2007-2021.zip,10230,2021,Norway,99999,69.056N,18.540E,-26.2,-24.0,24.0,15.3,21.9,14.5,19.8,13.6,16.5,21.7,15.3,20.0,14.3,18.6
Bardufoss.AP TR NOR,"['18.54000', '69.05890', '76.8']",https://climate.onebuilding.org/WMO_Region_6_Europe/NOR_Norway/TR_Troms/NOR_TR_Bardufoss.AP.010230_TMYx.2004-2018.zip,NOR_TR_Bardufoss.AP.010230_TMYx.2004-2018.zip,10230,2018,Norway,99999,69.056N,18.540E,-26.2,-24.0,24.0,15.3,21.9,14.5,19.8,13.6,16.5,21.7,15.3,20.0,14.3,18.6
Tromso.AP-Langnes TR NOR,"['18.91310', '69.67670', '8.8']",https://climate.onebuilding.org/WMO_Region_6_Europe/NOR_Norway/TR_Troms/NOR_TR_Tromso.AP-Langnes.010250_TMYx.2004-2018.zip,NOR_TR_Tromso.AP-Langnes.010250_TMYx.2004-2018.zip,10250,2018,Norway,99999,69.683N,18.919E,-12.5,-11.1,20.3,14.5,18.3,13.5,16.5,12.7,15.2,19.2,14.0,17.5,13.1,15.9
Tromso.AP-Langnes TR NOR,"['18.91900', '69.68300', '8.8']",https://climate.onebuilding.org/WMO_Region_6_Europe/NOR_Norway/TR_Troms/NOR_TR_Tromso.AP-Langnes.010250_TMYx.2007-2021.zip,NOR_TR_Tromso.AP-Langnes.010250_TMYx.2007-2021.zip,10250,2021,Norway,99999,69.683N,18.919E,-12.5,-11.1,20.3,14.5,18.3,13.5,16.5,12.7,15.2,19.2,14.0,17.5,13.1,15.9
Tromso.AP-Langnes TR NOR,"['18.91900', '69.68300', '8.8']",https://climate.onebuilding.org/WMO_Region_6_Europe/NOR_Norway/TR_Troms/NOR_TR_Tromso.AP-Langnes.010250_TMYx.zip,NOR_TR_Tromso.AP-Langnes.010250_TMYx.zip,10250,010250_TMYx,Norway,99999,69.683N,18.919E,-12.5,-11.1,20.3,14.5,18.3,13.5,16.5,12.7,15.2,19.2,14.0,17.5,13.1,15.9
Tromso TR NOR,"['18.93670', '69.65360', '114.5']",https://climate.onebuilding.org/WMO_Region_6_Europe/NOR_Norway/TR_Troms/NOR_TR_Tromso.010260_TMYx.2007-2021.zip,NOR_TR_Tromso.010260_TMYx.2007-2021.zip,10260,2021,Norway,99999,69.6536N,18.9367E,-11.5,-10.1,21.4,14.5,19.4,13.5,17.5,12.6,15.3,20.2,14.1,18.4,13.2,16.8
Tromso TR NOR,"['18.93670', '69.65360', '114.5']",https://climate.onebuilding.org/WMO_Region_6_Europe/NOR_Norway/TR_Troms/NOR_TR_Tromso.010260_TMYx.zip,NOR_TR_Tromso.010260_TMYx.zip,10260,010260_TMYx,Norway,99999,69.6536N,18.9367E,-11.5,-10.1,21.4,14.5,19.4,13.5,17.5,12.6,15.3,20.2,14.1,18.4,13.2,16.8
Tromso TR NOR,"['18.93670', '69.65360', '114.5']",https://climate.onebuilding.org/WMO_Region_6_Europe/NOR_Norway/TR_Troms/NOR_TR_Tromso.010260_TMYx.2004-2018.zip,NOR_TR_Tromso.010260_TMYx.2004-2018.zip,10260,2018,Norway,99999,69.6536N,18.9367E,-11.5,-10.1,21.4,14.5,19.4,13.5,17.5,12.6,15.3,20.2,14.1,18.4,13.2,16.8
