Heating DB 99.6% - EPW,Heating DB 99% - EPW,Cooling DB 0.4% - EPW,Cooling DB 1% - EPW
-11.0,-9.0,20.896399999999993,19.3
-7.296399999999999,-5.9,24.396399999999993,21.6
-8.0,-7.1,23.396399999999993,21.0
-5.296399999999999,-4.5,18.796399999999995,17.440999999999985
-5.0,-4.3,20.6,18.5
-6.0,-5.4,19.0,17.440999999999985
-7.296399999999999,-6.0,21.696399999999993,20.0
-6.4,-5.0,20.2,18.9
-6.3,-5.3,20.9,19.9
-9.0,-8.0,19.0,17.9
-8.8,-7.241,18.396399999999993,16.8
-8.8964,-7.5,18.996399999999994,17.7
-10.5964,-8.9,21.3,19.7
-10.5964,-9.1,19.59279999999999,17.7
-10.5964,-8.841000000000001,21.1,19.2
-15.0,-13.1,21.9,20.0
-17.0,-14.241,23.0,21.0
-19.7,-18.0,22.0,21.0
-25.4,-23.7,22.6,20.1
-25.4,-23.7,22.6,20.1
-25.4,-24.2,23.7,21.4
-33.3,-30.641000000000002,20.4,18.4
-34.3964,-30.5,21.8,19.5
-31.596400000000003,-29.282,21.6,19.840999999999987
-1.1964,-0.3,19.6,18.140999999999988
-0.6,-0.1,19.0,17.8
-0.6,-0.2,19.396399999999993,18.2
-0.4,0.2,16.7,16.2
0.0036000000000001365,0.5,18.596399999999996,17.2
-0.1,0.5,18.2,17.0
-2.4,-1.3,19.0,18.1
-3.0,-2.0,20.3,19.040999999999986
-2.0,-1.7,19.3,18.2
-1.6,-0.6,17.2,16.3
-1.2,-0.5,19.8,18.340999999999987
-0.5,0.0,17.7,17.0
-2.8,-2.0,21.1,19.4
-2.3,-1.6,19.5,18.5
-2.3,-1.6,19.5,18.5
-5.5,-4.7,23.692799999999988,21.0
-5.9963999999999995,-5.2,23.896399999999993,22.0
-11.0,-7.1,25.696399999999993,23.9
-4.8,-3.7,24.1,22.0
-6.3,-4.640999999999999,24.5,22.7
-6.0,-5.0,22.2,20.5
-10.8964,-9.2,23.5,21.8
-11.4,-10.1,21.8,20.4
-11.4,-10.1,21.8,20.4
-3.6,-2.2,21.1,20.0
-4.0,-2.8,21.3,20.0
