,Location Name,Coordinates,URL for files
1945,Sharypovo KYA RUS,"['89.20530', '55.53440', '318.8']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Sharypovo.295580_TMYx.2007-2021.zip
1946,Sharypovo KYA RUS,"['89.20530', '55.53440', '318.8']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Sharypovo.295580_TMYx.zip
1947,Nazarovo KYA RUS,"['90.31670', '56.03330', '255.9']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Nazarovo.295610_TMYx.2004-2018.zip
1948,Nazarovo KYA RUS,"['90.31670', '56.03330', '255.9']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Nazarovo.295610_TMYx.2007-2021.zip
1949,Nazarovo KYA RUS,"['90.31670', '56.03330', '255.9']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Nazarovo.295610_TMYx.zip
1950,Kemchug KYA RUS,"['91.66670', '56.10000', '332.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Kemchug.295620_TMYx.2004-2018.zip
1951,Kemchug KYA RUS,"['91.71660', '56.09360', '332.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Kemchug.295620_TMYx.2007-2021.zip
1952,Kemchug KYA RUS,"['91.71660', '56.09360', '332.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Kemchug.295620_TMYx.zip
1953,Kacha KYA RUS,"['92.20000', '56.11670', '479.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Kacha.295630_TMYx.2004-2018.zip
1954,Kacha KYA RUS,"['92.20000', '56.11670', '479.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Kacha.295630_TMYx.2007-2021.zip
1955,Kacha KYA RUS,"['92.20000', '56.11670', '479.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Kacha.295630_TMYx.zip
