,Location Name,Coordinates,URL for files
0,La.Quiaca.AP-Observatorio JY ARG,"['-65.57800', '-22.15100', '3479.0']",https://climate.onebuilding.org/WMO_Region_3_South_America/ARG_Argentina/JY_Jujuy/ARG_JY_La.Quiaca.AP-Observatorio.870070_TMYx.2004-2018.zip
1,La.Quiaca.Obs JY ARG,"['-65.60080', '-22.10330', '3479.0']",https://climate.onebuilding.org/WMO_Region_3_South_America/ARG_Argentina/JY_Jujuy/ARG_JY_La.Quiaca.Obs.870070_TMYx.2007-2021.zip
2,La.Quiaca.AP-Observatorio JY ARG,"['-65.60080', '-22.10330', '3479.0']",https://climate.onebuilding.org/WMO_Region_3_South_America/ARG_Argentina/JY_Jujuy/ARG_JY_La.Quiaca.AP-Observatorio.870070_TMYx.zip
3,Oran.AP SA ARG,"['-64.32900', '-23.15300', '356.0']",https://climate.onebuilding.org/WMO_Region_3_South_America/ARG_Argentina/SA_Salta/ARG_SA_Oran.AP.870160_TMYx.2004-2018.zip
4,Oran.AP SA ARG,"['-64.32900', '-23.15300', '356.0']",https://climate.onebuilding.org/WMO_Region_3_South_America/ARG_Argentina/SA_Salta/ARG_SA_Oran.AP.870160_TMYx.2007-2021.zip
5,Oran.AP SA ARG,"['-64.32900', '-23.15300', '356.0']",https://climate.onebuilding.org/WMO_Region_3_South_America/ARG_Argentina/SA_Salta/ARG_SA_Oran.AP.870160_TMYx.zip
6,Tartagal-Mosconi.AP SA ARG,"['-63.79400', '-22.62000', '449.0']",https://climate.onebuilding.org/WMO_Region_3_South_America/ARG_Argentina/SA_Salta/ARG_SA_Tartagal-Mosconi.AP.870220_TMYx.2004-2018.zip
7,Tartagal-Mosconi.AP SA ARG,"['-63.79670', '-22.61670', '449.0']",https://climate.onebuilding.org/WMO_Region_3_South_America/ARG_Argentina/SA_Salta/ARG_SA_Tartagal-Mosconi.AP.870220_TMYx.2007-2021.zip
8,Tartagal-Mosconi.AP SA ARG,"['-63.79670', '-22.61670', '449.0']",https://climate.onebuilding.org/WMO_Region_3_South_America/ARG_Argentina/SA_Salta/ARG_SA_Tartagal-Mosconi.AP.870220_TMYx.zip
9,Jujuy-Guzman.Intl.AP JY ARG,"['-65.09800', '-24.39300', '920.2']",https://climate.onebuilding.org/WMO_Region_3_South_America/ARG_Argentina/JY_Jujuy/ARG_JY_Jujuy-Guzman.Intl.AP.870460_TMYx.2004-2018.zip
10,Jujuy-Guzman.Intl.AP JY ARG,"['-65.09560', '-24.38390', '920.2']",https://climate.onebuilding.org/WMO_Region_3_South_America/ARG_Argentina/JY_Jujuy/ARG_JY_Jujuy-Guzman.Intl.AP.870460_TMYx.2007-2021.zip
11,Jujuy-Guzman.Intl.AP JY ARG,"['-65.09560', '-24.38390', '920.2']",https://climate.onebuilding.org/WMO_Region_3_South_America/ARG_Argentina/JY_Jujuy/ARG_JY_Jujuy-Guzman.Intl.AP.870460_TMYx.zip
12,Salta-de.Guemes.Intl.AP SA ARG,"['-65.48600', '-24.85600', '1246.0']",https://climate.onebuilding.org/WMO_Region_3_South_America/ARG_Argentina/SA_Salta/ARG_SA_Salta-de.Guemes.Intl.AP.870470_TMYx.2004-2018.zip
