,Location Name,Coordinates,URL for files
0,Lumparland.Langnas.Harbour LU ALA,"['20.29750', '60.11580', '12.5']",https://climate.onebuilding.org/WMO_Region_6_Europe/ALA_Aland_Islands/ALA_LU_Lumparland.Langnas.Harbour.027240_TMYx.2007-2021.zip
1,Lumparland.Langnas.Harbour LU ALA,"['20.29750', '60.11580', '12.5']",https://climate.onebuilding.org/WMO_Region_6_Europe/ALA_Aland_Islands/ALA_LU_Lumparland.Langnas.Harbour.027240_TMYx.zip
2,Jomalby MH ALA,"['19.98640', '60.17830', '11.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/ALA_Aland_Islands/ALA_MH_Jomalby.027410_TMYx.2004-2018.zip
3,Jomalby MH ALA,"['19.98640', '60.17830', '11.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/ALA_Aland_Islands/ALA_MH_Jomalby.027410_TMYx.2007-2021.zip
4,Jomalby MH ALA,"['19.98640', '60.17830', '11.0']",https://climate.onebuilding.org/WMO_Region_6_Europe/ALA_Aland_Islands/ALA_MH_Jomalby.027410_TMYx.zip
5,Kumlinge KM ALA,"['20.74720', '60.25810', '22.5']",https://climate.onebuilding.org/WMO_Region_6_Europe/ALA_Aland_Islands/ALA_KM_Kumlinge.027900_TMYx.2004-2018.zip
6,Kumlinge KM ALA,"['20.74720', '60.25810', '22.5']",https://climate.onebuilding.org/WMO_Region_6_Europe/ALA_Aland_Islands/ALA_KM_Kumlinge.027900_TMYx.2007-2021.zip
7,Kumlinge KM ALA,"['20.74720', '60.25810', '22.5']",https://climate.onebuilding.org/WMO_Region_6_Europe/ALA_Aland_Islands/ALA_KM_Kumlinge.027900_TMYx.zip
8,Jomala-Mariehamn.AP MH ALA,"['19.90330', '60.12470', '6.1']",https://climate.onebuilding.org/WMO_Region_6_Europe/ALA_Aland_Islands/ALA_MH_Jomala-Mariehamn.AP.029700_TMYx.2004-2018.zip
9,Jomala-Mariehamn.AP MH ALA,"['19.90330', '60.12470', '6.1']",https://climate.onebuilding.org/WMO_Region_6_Europe/ALA_Aland_Islands/ALA_MH_Jomala-Mariehamn.AP.029700_TMYx.2007-2021.zip
10,Jomala-Mariehamn.AP MH ALA,"['19.90330', '60.12470', '6.1']",https://climate.onebuilding.org/WMO_Region_6_Europe/ALA_Aland_Islands/ALA_MH_Jomala-Mariehamn.AP.029700_TMYx.zip
