,Location Name,Coordinates,URL for files
0,Vernadsky.Research.Base-Argentine.Islands GBR ATA,"['-64.26700', '-65.25000', '9.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_GBR_Vernadsky.Research.Base-Argentine.Islands.889520_TMYx.zip
1,Esperanza.Base-Hope.Bay ARG ATA,"['-56.99730', '-63.39810', '3.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Esperanza.Base-Hope.Bay.889630_TMYx.2004-2018.zip
2,Esperanza.Base-Hope.Bay ARG ATA,"['-56.99730', '-63.39810', '3.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Esperanza.Base-Hope.Bay.889630_TMYx.2007-2021.zip
3,Esperanza.Base-Hope.Bay ARG ATA,"['-56.99730', '-63.39810', '3.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Esperanza.Base-Hope.Bay.889630_TMYx.zip
4,Orcadas.Base-Laurie.Island-South.Orkney.Islands ARG ATA,"['-44.73300', '-60.73300', '8.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Orcadas.Base-Laurie.Island-South.Orkney.Islands.889680_TMYx.2004-2018.zip
5,Orcadas.Base-Laurie.Island-South.Orkney.Islands ARG ATA,"['-44.73300', '-60.73300', '8.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Orcadas.Base-Laurie.Island-South.Orkney.Islands.889680_TMYx.2007-2021.zip
6,Orcadas.Base-Laurie.Island-South.Orkney.Islands ARG ATA,"['-44.73300', '-60.73300', '8.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Orcadas.Base-Laurie.Island-South.Orkney.Islands.889680_TMYx.zip
7,Admiral.Brown.Base-Graham.Land ARG ATA,"['62.87060', '-64.89540', '10.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Admiral.Brown.Base-Graham.Land.889710_TMYx.zip
8,SANAE.SAF.Stn ZAF ATA,"['-2.35000', '-70.30000', '62.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ZAF_SANAE.SAF.Stn.890010_TMYx.zip
9,Neumayer.III.Stn DEU ATA,"['-8.26670', '-70.66660', '50.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_DEU_Neumayer.III.Stn.890020_TMYx.2004-2018.zip
10,Neumayer.III.Stn DEU ATA,"['-8.26670', '-70.66660', '50.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_DEU_Neumayer.III.Stn.890020_TMYx.2007-2021.zip
11,Neumayer.III.Stn DEU ATA,"['-8.26670', '-70.66660', '50.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_DEU_Neumayer.III.Stn.890020_TMYx.zip
12,Halvfarryggen.Ridge NLD ATA,"['-6.68300', '-71.15000', '694.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_NLD_Halvfarryggen.Ridge.890030_TMYx.2007-2021.zip
13,Halvfarryggen.Ridge NLD ATA,"['-6.68300', '-71.15000', '694.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_NLD_Halvfarryggen.Ridge.890030_TMYx.zip
14,SANAE.IV.Stn ZAF ATA,"['-2.84070', '-71.67360', '790.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ZAF_SANAE.IV.Stn.890040_TMYx.2004-2018.zip
15,SANAE.IV.Stn ZAF ATA,"['-2.84070', '-71.67360', '790.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ZAF_SANAE.IV.Stn.890040_TMYx.2007-2021.zip
16,SANAE.IV.Stn ZAF ATA,"['-2.84070', '-71.67360', '790.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ZAF_SANAE.IV.Stn.890040_TMYx.zip
17,Amundsen.Scott-South.Pole.Stn USA ATA,"['0.00000', '-90.00000', '2835.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_USA_Amundsen.Scott-South.Pole.Stn.890090_TMYx.2007-2021.zip
18,Amundsen.Scott-South.Pole.Stn USA ATA,"['0.00000', '-90.00000', '2835.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_USA_Amundsen.Scott-South.Pole.Stn.890090_TMYx.zip
19,U-Wisc.Baldrick.AWS-High.Polar.Plateau USA ATA,"['-13.05400', '-82.77400', '1968.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_USA_U-Wisc.Baldrick.AWS-High.Polar.Plateau.890130_TMYx.2004-2018.zip
20,U-Wisc.Baldrick.AWS-High.Polar.Plateau USA ATA,"['-13.05400', '-82.77400', '1968.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_USA_U-Wisc.Baldrick.AWS-High.Polar.Plateau.890130_TMYx.2007-2021.zip
21,U-Wisc.Baldrick.AWS-High.Polar.Plateau USA ATA,"['-13.05400', '-82.77400', '1968.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_USA_U-Wisc.Baldrick.AWS-High.Polar.Plateau.890130_TMYx.zip
22,Nordenskiold.Base.Camp SWE ATA,"['-13.41620', '-73.03350', '367.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_SWE_Nordenskiold.Base.Camp.890140_TMYx.2004-2018.zip
23,Nordenskiold.Base.Camp SWE ATA,"['-13.41620', '-73.03350', '367.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_SWE_Nordenskiold.Base.Camp.890140_TMYx.2007-2021.zip
24,Nordenskiold.Base.Camp SWE ATA,"['-13.41620', '-73.03350', '367.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_SWE_Nordenskiold.Base.Camp.890140_TMYx.zip
25,Brunt.AWS-Halley.Research.Stn GBR ATA,"['-26.20660', '-75.60550', '33.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_GBR_Brunt.AWS-Halley.Research.Stn.890220_TMYx.2004-2018.zip
26,Brunt.AWS-Halley.Research.Stn GBR ATA,"['-26.20660', '-75.60550', '33.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_GBR_Brunt.AWS-Halley.Research.Stn.890220_TMYx.2007-2021.zip
27,Brunt.AWS-Halley.Research.Stn GBR ATA,"['-26.20660', '-75.60550', '33.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_GBR_Brunt.AWS-Halley.Research.Stn.890220_TMYx.zip
28,Belgrano.II.Stn ARG ATA,"['-34.62670', '-77.87360', '202.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Belgrano.II.Stn.890340_TMYx.2004-2018.zip
29,Belgrano.II.Stn ARG ATA,"['-34.62670', '-77.87360', '202.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Belgrano.II.Stn.890340_TMYx.2007-2021.zip
30,Belgrano.II.Stn ARG ATA,"['-34.62670', '-77.87360', '202.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Belgrano.II.Stn.890340_TMYx.zip
31,Bellingshausen.AWS ARG ATA,"['-58.93760', '-62.19240', '14.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Bellingshausen.AWS.890500_TMYx.2004-2018.zip
32,Bellingshausen.AWS ARG ATA,"['-58.93760', '-62.19240', '14.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Bellingshausen.AWS.890500_TMYx.2007-2021.zip
33,Bellingshausen.AWS ARG ATA,"['-58.93760', '-62.19240', '14.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Bellingshausen.AWS.890500_TMYx.zip
34,Petrel.Arg.Base ARG ATA,"['-56.28300', '-63.46700', '20.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Petrel.Arg.Base.890510_TMYx.zip
35,Arctowski.Stn POL ATA,"['-58.46900', '-62.15990', '2.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_POL_Arctowski.Stn.890520_TMYx.zip
36,Carlini.Stn ARG ATA,"['-58.66780', '-62.23830', '10.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Carlini.Stn.890530_TMYx.2004-2018.zip
37,Carlini.Stn ARG ATA,"['-58.66780', '-62.23830', '10.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Carlini.Stn.890530_TMYx.2007-2021.zip
38,Carlini.Stn ARG ATA,"['-58.66780', '-62.23830', '10.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Carlini.Stn.890530_TMYx.zip
39,Artigas.Base-Dinamet.Uruguay URY ATA,"['-58.90490', '-62.18510', '17.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_URY_Artigas.Base-Dinamet.Uruguay.890540_TMYx.2004-2018.zip
40,Artigas.Base-Dinamet.Uruguay URY ATA,"['-58.90490', '-62.18510', '17.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_URY_Artigas.Base-Dinamet.Uruguay.890540_TMYx.2007-2021.zip
41,Artigas.Base-Dinamet.Uruguay URY ATA,"['-58.90490', '-62.18510', '17.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_URY_Artigas.Base-Dinamet.Uruguay.890540_TMYx.zip
42,Marambio.Stn ARG ATA,"['-56.62710', '-64.24080', '0.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Marambio.Stn.890550_TMYx.2004-2018.zip
43,Marambio.Stn ARG ATA,"['-56.62710', '-64.24080', '0.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Marambio.Stn.890550_TMYx.2007-2021.zip
44,Marambio.Stn ARG ATA,"['-56.62710', '-64.24080', '0.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Marambio.Stn.890550_TMYx.zip
45,Eduardo.Frei.Montalva.AWS-Feldes.Peninsula-King.Ge CHL ATA,"['-58.98200', '-62.19310', '48.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_CHL_Eduardo.Frei.Montalva.AWS-Feldes.Peninsula-King.Ge.890560_TMYx.2004-2018.zip
46,Eduardo.Frei.Montalva.AWS-Feldes.Peninsula-King.Ge CHL ATA,"['-58.98200', '-62.19310', '48.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_CHL_Eduardo.Frei.Montalva.AWS-Feldes.Peninsula-King.Ge.890560_TMYx.2007-2021.zip
47,Eduardo.Frei.Montalva.AWS-Feldes.Peninsula-King.Ge CHL ATA,"['-58.98200', '-62.19310', '48.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_CHL_Eduardo.Frei.Montalva.AWS-Feldes.Peninsula-King.Ge.890560_TMYx.zip
48,Captain.Arturo.Prat.Navy.Base CHL ATA,"['-59.66460', '-62.47890', '5.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_CHL_Captain.Arturo.Prat.Navy.Base.890570_TMYx.2004-2018.zip
49,Captain.Arturo.Prat.Navy.Base CHL ATA,"['-59.66460', '-62.47890', '5.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_CHL_Captain.Arturo.Prat.Navy.Base.890570_TMYx.2007-2021.zip
50,Captain.Arturo.Prat.Navy.Base CHL ATA,"['-59.66460', '-62.47890', '5.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_CHL_Captain.Arturo.Prat.Navy.Base.890570_TMYx.zip
51,Great.Wall.Stn CHN ATA,"['-58.96020', '-62.21800', '8.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_CHN_Great.Wall.Stn.890580_TMYx.2004-2018.zip
52,Great.Wall.Stn CHN ATA,"['-58.96020', '-62.21800', '8.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_CHN_Great.Wall.Stn.890580_TMYx.2007-2021.zip
53,Great.Wall.Stn CHN ATA,"['-58.96020', '-62.21800', '8.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_CHN_Great.Wall.Stn.890580_TMYx.zip
54,General.Bernardo.O-Higgins.Base CHL ATA,"['-56.68300', '-63.32180', '10.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_CHL_General.Bernardo.O-Higgins.Base.890590_TMYx.2004-2018.zip
55,General.Bernardo.O-Higgins.Base CHL ATA,"['-57.89900', '-63.32100', '10.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_CHL_General.Bernardo.O-Higgins.Base.890590_TMYx.2007-2021.zip
56,General.Bernardo.O-Higgins.Base CHL ATA,"['-57.89900', '-63.32100', '10.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_CHL_General.Bernardo.O-Higgins.Base.890590_TMYx.zip
57,Primavera.Arg.Base ARG ATA,"['-60.95000', '-64.15000', '50.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_ARG_Primavera.Arg.Base.890600_TMYx.zip
58,Palmer.Stn USA ATA,"['-64.05290', '-64.77430', '0.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_USA_Palmer.Stn.890610_TMYx.2004-2018.zip
59,Palmer.Stn USA ATA,"['-64.05290', '-64.77430', '0.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_USA_Palmer.Stn.890610_TMYx.2007-2021.zip
60,Palmer.Stn USA ATA,"['-64.05290', '-64.77430', '0.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_USA_Palmer.Stn.890610_TMYx.zip
61,Rothera.Research.Stn GBR ATA,"['-68.11700', '-67.56700', '33.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_GBR_Rothera.Research.Stn.890620_TMYx.2004-2018.zip
62,Rothera.Research.Stn GBR ATA,"['-68.11700', '-67.56700', '33.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_GBR_Rothera.Research.Stn.890620_TMYx.2007-2021.zip
63,Rothera.Research.Stn GBR ATA,"['-68.11700', '-67.56700', '33.0']",https://climate.onebuilding.org/WMO_Region_7_Antarctica/ATA_Antarctica/ATA_GBR_Rothera.Research.Stn.890620_TMYx.zip
