,Location Name,Coordinates,URL for files
0,Cabinda.AP CAB AGO,"['12.18800', '-5.59700', '20.1']",https://climate.onebuilding.org/WMO_Region_1_Africa/AGO_Angola/AGO_CAB_Cabinda.AP.661040_TMYx.2004-2018.zip
1,Cabinda.AP CAB AGO,"['12.18800', '-5.59700', '20.1']",https://climate.onebuilding.org/WMO_Region_1_Africa/AGO_Angola/AGO_CAB_Cabinda.AP.661040_TMYx.2007-2021.zip
2,Cabinda.AP CAB AGO,"['12.18800', '-5.59700', '20.1']",https://climate.onebuilding.org/WMO_Region_1_Africa/AGO_Angola/AGO_CAB_Cabinda.AP.661040_TMYx.zip
3,Noqui ZAI AGO,"['13.43357', '-5.86728', '58.0']",https://climate.onebuilding.org/WMO_Region_1_Africa/AGO_Angola/AGO_ZAI_Noqui.661160_TMYx.zip
4,Mbanza.Congo ZAI AGO,"['14.24700', '-6.27000', '566.9']",https://climate.onebuilding.org/WMO_Region_1_Africa/AGO_Angola/AGO_ZAI_Mbanza.Congo.661180_TMYx.2007-2021.zip
5,Mbanza.Congo ZAI AGO,"['14.24700', '-6.27000', '566.9']",https://climate.onebuilding.org/WMO_Region_1_Africa/AGO_Angola/AGO_ZAI_Mbanza.Congo.661180_TMYx.zip
6,Soyo.A ZAI AGO,"['12.35000', '-6.11700', '-1.0']",https://climate.onebuilding.org/WMO_Region_1_Africa/AGO_Angola/AGO_ZAI_Soyo.A.661200_TMYx.2007-2021.zip
7,Soyo.A ZAI AGO,"['12.35000', '-6.11700', '-1.0']",https://climate.onebuilding.org/WMO_Region_1_Africa/AGO_Angola/AGO_ZAI_Soyo.A.661200_TMYx.zip
8,N-Zeto ZAI AGO,"['12.86700', '-7.23300', '17.0']",https://climate.onebuilding.org/WMO_Region_1_Africa/AGO_Angola/AGO_ZAI_N-Zeto.661300_TMYx.2007-2021.zip
9,N-Zeto ZAI AGO,"['12.86700', '-7.23300', '17.0']",https://climate.onebuilding.org/WMO_Region_1_Africa/AGO_Angola/AGO_ZAI_N-Zeto.661300_TMYx.zip
10,Namibe NAM AGO,"['12.15000', '-15.26700', '66.0']",https://climate.onebuilding.org/WMO_Region_1_Africa/AGO_Angola/AGO_NAM_Namibe.661361_TMYx.2007-2021.zip
11,Namibe NAM AGO,"['12.15000', '-15.26700', '66.0']",https://climate.onebuilding.org/WMO_Region_1_Africa/AGO_Angola/AGO_NAM_Namibe.661361_TMYx.zip
12,Soyo ZAI AGO,"['12.36700', '-6.13300', '5.0']",https://climate.onebuilding.org/WMO_Region_1_Africa/AGO_Angola/AGO_ZAI_Soyo.661365_TMYx.2007-2021.zip
13,Soyo ZAI AGO,"['12.36700', '-6.13300', '5.0']",https://climate.onebuilding.org/WMO_Region_1_Africa/AGO_Angola/AGO_ZAI_Soyo.661365_TMYx.zip
14,Uige.AP UIG AGO,"['15.00000', '-7.58300', '829.0']",https://climate.onebuilding.org/WMO_Region_1_Africa/AGO_Angola/AGO_UIG_Uige.AP.661400_TMYx.zip
15,Dundo.AP LNO AGO,"['20.81700', '-7.40000', '776.0']",https://climate.onebuilding.org/WMO_Region_1_Africa/AGO_Angola/AGO_LNO_Dundo.AP.661520_TMYx.2007-2021.zip
16,Dundo.AP LNO AGO,"['20.81700', '-7.40000', '776.0']",https://climate.onebuilding.org/WMO_Region_1_Africa/AGO_Angola/AGO_LNO_Dundo.AP.661520_TMYx.zip
