,Location Name,Coordinates,URL for files
1080,Ile.Rouge.Lighthouse QC CAN,"['-69.55560', '48.06890', '5.9']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/QC_Quebec/CAN_QC_Ile.Rouge.Lighthouse.714260_TMYx.2004-2018.zip
1081,Ile.Rouge.Lighthouse QC CAN,"['-69.55560', '48.06890', '5.9']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/QC_Quebec/CAN_QC_Ile.Rouge.Lighthouse.714260_TMYx.2007-2021.zip
1082,Ile.Rouge.Lighthouse QC CAN,"['-69.55560', '48.06890', '5.9']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/QC_Quebec/CAN_QC_Ile.Rouge.Lighthouse.714260_TMYx.zip
1083,Pointe.des.Monts QC CAN,"['-67.38110', '49.31670', '5.9']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/QC_Quebec/CAN_QC_Pointe.des.Monts.714270_TMYx.2004-2018.zip
1084,Pointe.des.Monts QC CAN,"['-67.38110', '49.31670', '5.9']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/QC_Quebec/CAN_QC_Pointe.des.Monts.714270_TMYx.2007-2021.zip
1085,Pointe.des.Monts QC CAN,"['-67.38110', '49.31670', '5.9']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/QC_Quebec/CAN_QC_Pointe.des.Monts.714270_TMYx.zip
1086,Cap.Chat QC CAN,"['-66.65450', '49.10920', '5.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/QC_Quebec/CAN_QC_Cap.Chat.714280_TMYx.2004-2018.zip
1087,Cap.Chat QC CAN,"['-66.65440', '49.10920', '5.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/QC_Quebec/CAN_QC_Cap.Chat.714280_TMYx.2007-2021.zip
1088,Cap.Chat QC CAN,"['-66.65440', '49.10920', '5.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/QC_Quebec/CAN_QC_Cap.Chat.714280_TMYx.zip
1089,Cap.d-Espoir QC CAN,"['-64.31690', '48.41950', '15.4']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/QC_Quebec/CAN_QC_Cap.d-Espoir.714290_TMYx.2004-2018.zip
1090,Cap.d-Espoir QC CAN,"['-64.31690', '48.41950', '15.4']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/QC_Quebec/CAN_QC_Cap.d-Espoir.714290_TMYx.2007-2021.zip
1091,Cap.d-Espoir QC CAN,"['-64.31690', '48.41950', '15.4']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/QC_Quebec/CAN_QC_Cap.d-Espoir.714290_TMYx.zip
1092,Point.Petre.Lighthouse ON CAN,"['-77.15350', '43.83950', '79.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Point.Petre.Lighthouse.714300_TMYx.2004-2018.zip
1093,Point.Petre.Lighthouse ON CAN,"['-77.15300', '43.83960', '79.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Point.Petre.Lighthouse.714300_TMYx.2007-2021.zip
1094,Point.Petre.Lighthouse ON CAN,"['-77.15300', '43.83960', '79.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Point.Petre.Lighthouse.714300_TMYx.zip
1095,Cobourg ON CAN,"['-78.16670', '43.95000', '77.7']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Cobourg.714310_TMYx.2004-2018.zip
1096,Cobourg ON CAN,"['-78.15112', '43.95611', '77.7']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Cobourg.714310_TMYx.2007-2021.zip
1097,Cobourg ON CAN,"['-78.15112', '43.95611', '77.7']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Cobourg.714310_TMYx.zip
1098,Port.Weller ON CAN,"['-79.21670', '43.25000', '79.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Port.Weller.714320_TMYx.2004-2018.zip
1099,Port.Weller ON CAN,"['-79.21800', '43.24500', '79.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Port.Weller.714320_TMYx.2007-2021.zip
1100,Port.Weller ON CAN,"['-79.21800', '43.24500', '79.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Port.Weller.714320_TMYx.zip
1101,Caribou.Island.Lighthouse ON CAN,"['-85.82611', '47.33944', '189.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Caribou.Island.Lighthouse.714330_TMYx.2007-2021.zip
1102,Caribou.Island.Lighthouse ON CAN,"['-85.82611', '47.33944', '189.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Caribou.Island.Lighthouse.714330_TMYx.zip
1103,Peawanuck.AP ON CAN,"['-85.43330', '54.98330', '53.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Peawanuck.AP.714340_TMYx.2004-2018.zip
1104,Peawanuck.AP ON CAN,"['-85.44083', '54.99028', '53.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Peawanuck.AP.714340_TMYx.2007-2021.zip
1105,Peawanuck.AP ON CAN,"['-85.44083', '54.99028', '53.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/ON_Ontario/CAN_ON_Peawanuck.AP.714340_TMYx.zip
