,Location Name,Coordinates,URL for files
584,Culiacan.Intl.AP SIN MEX,"['-107.4411', '24.63500', '39.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/SIN_Sinaloa/MEX_SIN_Culiacan.Intl.AP.764120_TMYx.zip
585,Cuidad.Culiacan SIN MEX,"['-107.4000', '24.81700', '53.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/SIN_Sinaloa/MEX_SIN_Cuidad.Culiacan.764125_TMYx.zip
586,Durango DUR MEX,"['-104.6000', '24.05000', '1872.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/DUR_Durango/MEX_DUR_Durango.764230_TMYx.2004-2018.zip
587,Durango DUR MEX,"['-104.6006', '24.06140', '1872.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/DUR_Durango/MEX_DUR_Durango.764230_TMYx.2007-2021.zip
588,Durango DUR MEX,"['-104.6006', '24.06140', '1872.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/DUR_Durango/MEX_DUR_Durango.764230_TMYx.zip
589,Durango-Guadalupe.Intl.AP DUR MEX,"['-104.5280', '24.12400', '1860.5']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/DUR_Durango/MEX_DUR_Durango-Guadalupe.Intl.AP.764235_TMYx.2004-2018.zip
590,Durango-Guadalupe.Intl.AP DUR MEX,"['-104.5280', '24.12400', '1860.5']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/DUR_Durango/MEX_DUR_Durango-Guadalupe.Intl.AP.764235_TMYx.2007-2021.zip
591,Durango-Guadalupe.Intl.AP DUR MEX,"['-104.5280', '24.12400', '1860.5']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/DUR_Durango/MEX_DUR_Durango-Guadalupe.Intl.AP.764235_TMYx.zip
592,Mazatlan SIN MEX,"['-106.4170', '23.20000', '4.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/SIN_Sinaloa/MEX_SIN_Mazatlan.764580_TMYx.2004-2018.zip
593,Mazatlan SIN MEX,"['-106.4111', '23.21720', '3.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/SIN_Sinaloa/MEX_SIN_Mazatlan.764580_TMYx.2007-2021.zip
594,Mazatlan SIN MEX,"['-106.4111', '23.21720', '3.0']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/SIN_Sinaloa/MEX_SIN_Mazatlan.764580_TMYx.zip
595,Mazatlan-Buelna.Intl.AP SIN MEX,"['-106.2660', '23.16100', '11.6']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/SIN_Sinaloa/MEX_SIN_Mazatlan-Buelna.Intl.AP.764593_TMYx.2004-2018.zip
596,Mazatlan-Buelna.Intl.AP SIN MEX,"['-106.2660', '23.16100', '11.6']",https://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/MEX_Mexico/SIN_Sinaloa/MEX_SIN_Mazatlan-Buelna.Intl.AP.764593_TMYx.2007-2021.zip
