,Location Name,Coordinates,URL for files
0,Fetzabad.AP BDS AFG,"['70.51700', '37.11700', '1200.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_BDS_Fetzabad.AP.409040_TMYx.zip
1,Mazar-i-Sharif.AP BAL AFG,"['67.21000', '36.70700', '391.4']",https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_BAL_Mazar-i-Sharif.AP.409110_TMYx.2004-2018.zip
2,Mazar-i-Sharif.AP BAL AFG,"['67.21850', '36.70550', '391.4']",https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_BAL_Mazar-i-Sharif.AP.409110_TMYx.2007-2021.zip
3,Mazar-i-Sharif.AP BAL AFG,"['67.21850', '36.70550', '391.4']",https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_BAL_Mazar-i-Sharif.AP.409110_TMYx.zip
4,Kunduz.AP KDZ AFG,"['68.91700', '36.66700', '433.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_KDZ_Kunduz.AP.409130_TMYx.2004-2018.zip
5,Kunduz.AP KDZ AFG,"['68.91700', '36.66700', '433.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_KDZ_Kunduz.AP.409130_TMYx.2007-2021.zip
6,Kunduz.AP KDZ AFG,"['68.91700', '36.66700', '433.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_KDZ_Kunduz.AP.409130_TMYx.zip
7,Maymana.AP FYB AFG,"['64.76700', '35.93300', '815.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_FYB_Maymana.AP.409220_TMYx.2004-2018.zip
8,Maymana.AP FYB AFG,"['64.76700', '35.93300', '815.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_FYB_Maymana.AP.409220_TMYx.2007-2021.zip
9,Maymana.AP FYB AFG,"['64.76700', '35.93300', '815.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_FYB_Maymana.AP.409220_TMYx.zip
10,North.Salang BGL AFG,"['69.01700', '35.31700', '3366.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_BGL_North.Salang.409300_TMYx.2007-2021.zip
11,North.Salang BGL AFG,"['69.01700', '35.31700', '3366.0']",https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_BGL_North.Salang.409300_TMYx.zip
12,Herat.Intl.AP HER AFG,"['62.22800', '34.21000', '977.2']",https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_HER_Herat.Intl.AP.409380_TMYx.2004-2018.zip
13,Herat.Intl.AP HER AFG,"['62.22800', '34.21000', '977.2']",https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_HER_Herat.Intl.AP.409380_TMYx.2007-2021.zip
14,Herat.Intl.AP HER AFG,"['62.22800', '34.21000', '977.2']",https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_HER_Herat.Intl.AP.409380_TMYx.zip
15,FOB.Victory.Stone - AFG,"['62.21700', '34.11700', '1112.5']",https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_FOB.Victory.Stone.409389_TMYx.2004-2018.zip
16,FOB.Victory.Stone - AFG,"['62.21700', '34.11700', '1112.5']",https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_FOB.Victory.Stone.409389_TMYx.2007-2021.zip
17,FOB.Victory.Stone - AFG,"['62.21700', '34.11700', '1112.5']",https://climate.onebuilding.org/WMO_Region_2_Asia/AFG_Afghanistan/AFG_FOB.Victory.Stone.409389_TMYx.zip
